,Year,Quarter,Category,Amount,Usercount
0,2018,1,Recharge & bill payments,14472713558,72550406
1,2018,1,Peer-to-peer payments,147245883542,46982705
2,2018,1,Merchant payments,4656678915,5368669
3,2018,1,Financial Services,815853105,3762820
4,2018,1,Others,4643217301,5761576
5,2018,2,Recharge & bill payments,24351225616,92033715
6,2018,2,Peer-to-peer payments,264767671095,74558816
7,2018,2,Merchant payments,9052859939,10613941
8,2018,2,Financial Services,1176991419,5186569
9,2018,2,Others,5027454207,4973199
10,2018,3,Peer-to-peer payments,425967421714,202021587
11,2018,3,Recharge & bill payments,31364311860,102290514
12,2018,3,Merchant payments,12433150984,25175938
13,2018,3,Financial Services,891447809,6218596
14,2018,3,Others,4449556277,5594554
15,2018,4,Peer-to-peer payments,594995709377,200235002
16,2018,4,Recharge & bill payments,39578607327,131917248
17,2018,4,Merchant payments,30497289208,71498510
18,2018,4,Financial Services,868584631,5216165
19,2018,4,Others,5802659774,8246415
20,2019,1,Peer-to-peer payments,887893108631,404841331
21,2019,1,Recharge & bill payments,55473071028,180504739
22,2019,1,Merchant payments,40575915112,110496541
23,2019,1,Financial Services,603852042,4627353
24,2019,1,Others,5484252454,8526177
25,2019,2,Peer-to-peer payments,1196425281586,384711008
26,2019,2,Recharge & bill payments,76865848586,209898072
27,2019,2,Merchant payments,73415840739,206467182
28,2019,2,Financial Services,545329308,2650384
29,2019,2,Others,6969423863,11656557
30,2019,3,Peer-to-peer payments,1440512511470,461911865
31,2019,3,Merchant payments,123209398484,376320628
32,2019,3,Recharge & bill payments,101520929811,240103872
33,2019,3,Financial Services,617120839,2870292
34,2019,3,Others,6705143103,13804992
35,2019,4,Peer-to-peer payments,1963952535223,703497002
36,2019,4,Merchant payments,174239646473,456578271
37,2019,4,Recharge & bill payments,116344996244,285310032
38,2019,4,Financial Services,551204225,2476840
39,2019,4,Others,4811822509,12583379
40,2020,1,Peer-to-peer payments,2320557268853,693998661
41,2020,1,Merchant payments,231298042209,566355270
42,2020,1,Recharge & bill payments,140373550367,351300991
43,2020,1,Financial Services,773848137,1358171
44,2020,1,Others,4116905195,10027019
45,2020,2,Peer-to-peer payments,2243915932390,631031364
46,2020,2,Recharge & bill payments,171590686463,448842692
47,2020,2,Merchant payments,226908226049,363275861
48,2020,2,Financial Services,1751767444,1682062
49,2020,2,Others,1987466180,3779461
50,2020,3,Peer-to-peer payments,3287051873253,916790263
51,2020,3,Merchant payments,405291207894,672019839
52,2020,3,Recharge & bill payments,204262355709,436172619
53,2020,3,Financial Services,2673063432,2531978
54,2020,3,Others,2789907563,5541374
55,2020,4,Peer-to-peer payments,4474548495095,1249512647
56,2020,4,Merchant payments,684873639322,1127490136
57,2020,4,Recharge & bill payments,227875840842,479784084
58,2020,4,Financial Services,3259168195,2942567
59,2020,4,Others,5323095366,9556404
60,2021,1,Merchant payments,844466633896,1467948823
61,2021,1,Peer-to-peer payments,5170856441552,1447600942
62,2021,1,Recharge & bill payments,260182440730,530118545
63,2021,1,Financial Services,3573884778,3075296
64,2021,1,Others,5199901891,8851525
65,2021,2,Peer-to-peer payments,6163165772736,1744272888
66,2021,2,Merchant payments,1003530942287,1499626469
67,2021,2,Recharge & bill payments,300559461295,685024821
68,2021,2,Financial Services,3651996523,3397384
69,2021,2,Others,5598131364,9061732
70,2021,3,Merchant payments,1426965558783,2316924871
71,2021,3,Peer-to-peer payments,7429357587018,2215575286
72,2021,3,Recharge & bill payments,349234592690,714583744
73,2021,3,Financial Services,4043342762,3112160
74,2021,3,Others,7146868847,13558464
75,2021,4,Merchant payments,1995855822160,3152394530
76,2021,4,Peer-to-peer payments,9203910371491,2716561423
77,2021,4,Recharge & bill payments,407266894783,738096162
78,2021,4,Financial Services,5028434834,4141629
79,2021,4,Others,9296993478,14562602
80,2022,1,Merchant payments,2272818129376,3748851071
81,2022,1,Peer-to-peer payments,10505936803336,3074250150
82,2022,1,Recharge & bill payments,447599848131,749674246
83,2022,1,Financial Services,4921211866,4035100
84,2022,1,Others,8422766458,16393502
85,2022,2,Merchant payments,2847096877386,4765203787
86,2022,2,Peer-to-peer payments,12123524700463,3506141323
87,2022,2,Recharge & bill payments,523046092987,845751926
88,2022,2,Financial Services,3889787479,3272822
89,2022,2,Others,6711034131,11241480
90,2022,3,Merchant payments,3151614767860,5618132071
91,2022,3,Peer-to-peer payments,12837803371386,3957113406
92,2022,3,Recharge & bill payments,607048699730,956164949
93,2022,3,Financial Services,4514223164,3959631
94,2022,3,Others,6725900102,10005043
95,2022,4,Merchant payments,3673601044800,6565690145
96,2022,4,Peer-to-peer payments,14578874324207,4459859921
97,2022,4,Recharge & bill payments,649776847580,991049281
98,2022,4,Financial Services,5360528394,4623387
99,2022,4,Others,7361492606,10013085
100,2023,1,Merchant payments,3745994748195,7205999708
101,2023,1,Peer-to-peer payments,15924876501456,4792478560
102,2023,1,Recharge & bill payments,829952832616,1076952638
103,2023,1,Financial Services,5673343900,4884759
104,2023,1,Others,7571900579,10259195
105,2023,2,Merchant payments,4277821161887,8529595637
106,2023,2,Peer-to-peer payments,17722778868673,5374546962
107,2023,2,Recharge & bill payments,904758857308,1190947064
108,2023,2,Financial Services,6364033676,5195942
109,2023,2,Others,6919677602,9341245
