,Year,Quarter,State_Name,User_Count,Amount
0,2018,1,maharashtra,16387034,21711613257
1,2018,1,uttar pradesh,12537805,13939970923
2,2018,1,karnataka,12016899,19217895314
3,2018,1,west bengal,11710225,10625978552
4,2018,1,andhra pradesh,9039585,11996276391
5,2018,1,telangana,8522766,13308204118
6,2018,1,madhya pradesh,8025395,8681603403
7,2018,1,rajasthan,7591690,8926293130
8,2018,1,delhi,7122754,11211503806
9,2018,1,tamil nadu,6726622,11261557697
10,2018,2,maharashtra,22285740,36357057241
11,2018,2,west bengal,18082446,18629183470
12,2018,2,uttar pradesh,17710943,25720201695
13,2018,2,karnataka,17116447,33515580081
14,2018,2,andhra pradesh,12353918,22883914272
15,2018,2,telangana,10764670,23017201517
16,2018,2,madhya pradesh,10561412,15924081066
17,2018,2,tamil nadu,9992128,20125844276
18,2018,2,rajasthan,9973697,15559086175
19,2018,2,delhi,9373723,17446299902
20,2018,3,west bengal,53705416,41843934183
21,2018,3,maharashtra,31538538,52260817733
22,2018,3,odisha,30052155,23094515775
23,2018,3,uttar pradesh,26515356,37012114369
24,2018,3,karnataka,25980261,48225091755
25,2018,3,andhra pradesh,25626061,35718044599
26,2018,3,telangana,19332703,32030093209
27,2018,3,delhi,18547048,27375846860
28,2018,3,madhya pradesh,17126985,24149742204
29,2018,3,tamil nadu,15774078,29330092241
30,2018,4,maharashtra,46090223,79518937047
31,2018,4,karnataka,44812071,73008386576
32,2018,4,west bengal,36513548,40489619211
33,2018,4,uttar pradesh,36100767,55096743575
34,2018,4,andhra pradesh,30759548,51473779406
35,2018,4,delhi,29187719,39722857618
36,2018,4,telangana,28921154,49509088448
37,2018,4,tamil nadu,22457444,43302073975
38,2018,4,madhya pradesh,21397555,33905608072
39,2018,4,odisha,21142798,23429869571
40,2019,1,karnataka,86587609,117976382145
41,2019,1,maharashtra,75079069,111420690920
42,2019,1,telangana,65290702,95523262035
43,2019,1,uttar pradesh,57324504,76524180134
44,2019,1,andhra pradesh,57264522,83760595917
45,2019,1,west bengal,47626388,50164672623
46,2019,1,delhi,47007327,58469131789
47,2019,1,rajasthan,43956040,61141158575
48,2019,1,madhya pradesh,37301049,48070279522
49,2019,1,odisha,34031942,35427127930
50,2019,2,karnataka,115401604,163702024226
51,2019,2,maharashtra,101149853,153294470088
52,2019,2,telangana,89610379,155676443182
53,2019,2,uttar pradesh,58883500,98917519370
54,2019,2,delhi,57171512,81706816063
55,2019,2,andhra pradesh,56409015,113634518758
56,2019,2,rajasthan,50009286,89107313172
57,2019,2,west bengal,47023535,57105691119
58,2019,2,madhya pradesh,40846013,68334566380
59,2019,2,tamil nadu,32171737,64207676025
60,2019,3,karnataka,170733735,214536720438
61,2019,3,maharashtra,148735581,199617506744
62,2019,3,telangana,121495376,201930021130
63,2019,3,andhra pradesh,76288614,139447944254
64,2019,3,delhi,69537876,103196812046
65,2019,3,uttar pradesh,68623959,111268137475
66,2019,3,rajasthan,67303617,112468290031
67,2019,3,west bengal,66444829,70540532616
68,2019,3,madhya pradesh,53610411,77676321491
69,2019,3,odisha,41422272,57304577359
70,2019,4,karnataka,237796252,295047143447
71,2019,4,maharashtra,201260620,272994428799
72,2019,4,telangana,163572258,280746765547
73,2019,4,andhra pradesh,107218103,200948315488
74,2019,4,west bengal,96805838,88203610254
75,2019,4,uttar pradesh,86905005,145538926507
76,2019,4,rajasthan,85074242,159452410049
77,2019,4,delhi,80744997,129024467424
78,2019,4,madhya pradesh,68131989,104687926790
79,2019,4,odisha,64995633,79769373632
80,2020,1,karnataka,271033890,353402054999
81,2020,1,maharashtra,238944081,319995196718
82,2020,1,telangana,199409525,371343780368
83,2020,1,andhra pradesh,127677357,252737214289
84,2020,1,rajasthan,102258812,190308238561
85,2020,1,uttar pradesh,97239132,172416434960
86,2020,1,delhi,81747604,133616543642
87,2020,1,madhya pradesh,79366746,126737281436
88,2020,1,tamil nadu,66953473,116569686179
89,2020,1,west bengal,66250381,96653305190
90,2020,2,karnataka,213221712,321104877020
91,2020,2,maharashtra,184790761,296359517159
92,2020,2,telangana,152055143,321531839352
93,2020,2,andhra pradesh,144917855,302583689746
94,2020,2,rajasthan,101954656,193763273003
95,2020,2,uttar pradesh,100851965,178744016130
96,2020,2,madhya pradesh,76340573,147922015289
