,Year,Quarter,State_Name,RegisteredUsers
0,2018,1,maharashtra,6106994
1,2018,1,uttar pradesh,4694250
2,2018,1,karnataka,3717763
3,2018,1,andhra pradesh,3336450
4,2018,1,telangana,3315560
5,2018,1,rajasthan,3158202
6,2018,1,gujarat,2690048
7,2018,1,west bengal,2604789
8,2018,1,madhya pradesh,2553603
9,2018,1,bihar,2133804
10,2018,2,maharashtra,8222371
11,2018,2,uttar pradesh,6442554
12,2018,2,karnataka,5030665
13,2018,2,andhra pradesh,4402540
14,2018,2,telangana,4260115
15,2018,2,rajasthan,4212964
16,2018,2,west bengal,3833795
17,2018,2,gujarat,3565825
18,2018,2,madhya pradesh,3441662
19,2018,2,bihar,3005872
20,2018,3,maharashtra,10435033
21,2018,3,uttar pradesh,8096483
22,2018,3,karnataka,6372649
23,2018,3,andhra pradesh,5427617
24,2018,3,rajasthan,5175453
25,2018,3,telangana,5138501
26,2018,3,west bengal,4851740
27,2018,3,gujarat,4433183
28,2018,3,madhya pradesh,4309309
29,2018,3,tamil nadu,3900177
30,2018,4,maharashtra,13381602
31,2018,4,uttar pradesh,10341964
32,2018,4,karnataka,8315802
33,2018,4,andhra pradesh,6857409
34,2018,4,telangana,6529679
35,2018,4,rajasthan,6358738
36,2018,4,west bengal,6279278
37,2018,4,gujarat,5579040
38,2018,4,madhya pradesh,5365442
39,2018,4,tamil nadu,5199878
40,2019,1,maharashtra,16284451
41,2019,1,uttar pradesh,12458661
42,2019,1,karnataka,10266174
43,2019,1,andhra pradesh,8283019
44,2019,1,telangana,7963425
45,2019,1,rajasthan,7712204
46,2019,1,west bengal,7449425
47,2019,1,gujarat,6652536
48,2019,1,madhya pradesh,6414403
49,2019,1,tamil nadu,6296303
50,2019,2,maharashtra,18776975
51,2019,2,uttar pradesh,14316349
52,2019,2,karnataka,11968087
53,2019,2,andhra pradesh,9389003
54,2019,2,telangana,9046007
55,2019,2,rajasthan,8783935
56,2019,2,west bengal,8612795
57,2019,2,gujarat,7574645
58,2019,2,tamil nadu,7429609
59,2019,2,madhya pradesh,7301172
60,2019,3,maharashtra,21313081
61,2019,3,uttar pradesh,16044607
62,2019,3,karnataka,13635075
