,Year,Quarter,District_name,RegisteredUsers
0,2018,1,bengaluru urban,1922368
1,2018,1,pune,1211643
2,2018,1,jaipur,900773
3,2018,1,mumbai suburban,719300
4,2018,1,hyderabad,655175
5,2018,1,rangareddy,635175
6,2018,1,thane,631864
7,2018,1,ahmadabad,572811
8,2018,1,medchal malkajgiri,549429
9,2018,1,visakhapatnam,497187
10,2018,2,bengaluru urban,2553312
11,2018,2,pune,1592293
12,2018,2,jaipur,1182983
13,2018,2,mumbai suburban,957633
14,2018,2,thane,861292
15,2018,2,hyderabad,842483
16,2018,2,rangareddy,804959
17,2018,2,ahmadabad,751746
18,2018,2,medchal malkajgiri,696211
19,2018,2,surat,652372
20,2018,3,bengaluru urban,3167597
21,2018,3,pune,1974138
22,2018,3,jaipur,1438305
23,2018,3,mumbai suburban,1218632
24,2018,3,thane,1104206
25,2018,3,hyderabad,1024241
26,2018,3,rangareddy,963186
27,2018,3,ahmadabad,919252
28,2018,3,medchal malkajgiri,828425
29,2018,3,surat,808005
30,2018,4,bengaluru urban,4126734
31,2018,4,pune,2498852
32,2018,4,jaipur,1733893
33,2018,4,mumbai suburban,1578487
34,2018,4,thane,1473811
35,2018,4,hyderabad,1336872
36,2018,4,rangareddy,1217664
37,2018,4,ahmadabad,1212636
38,2018,4,medchal malkajgiri,1056739
39,2018,4,surat,998807
40,2019,1,bengaluru urban,5003207
41,2019,1,pune,3038402
42,2019,1,jaipur,2060175
43,2019,1,mumbai suburban,1901210
44,2019,1,thane,1834051
45,2019,1,hyderabad,1638436
46,2019,1,rangareddy,1470874
47,2019,1,ahmadabad,1450100
48,2019,1,medchal malkajgiri,1279531
49,2019,1,surat,1180819
50,2019,2,bengaluru urban,5694165
51,2019,2,pune,3514081
52,2019,2,jaipur,2290462
53,2019,2,mumbai suburban,2151657
54,2019,2,thane,2118406
55,2019,2,hyderabad,1856926
56,2019,2,ahmadabad,1656341
57,2019,2,rangareddy,1651300
58,2019,2,medchal malkajgiri,1428880
59,2019,2,surat,1338584
60,2019,3,bengaluru urban,6383771
61,2019,3,pune,4004991
62,2019,3,jaipur,2520933
63,2019,3,mumbai suburban,2407754
64,2019,3,thane,2396815
65,2019,3,hyderabad,2071673
66,2019,3,ahmadabad,1848860
67,2019,3,rangareddy,1826019
68,2019,3,medchal malkajgiri,1572320
69,2019,3,surat,1481391
70,2019,4,bengaluru urban,7016836
71,2019,4,pune,4416899
72,2019,4,jaipur,2746860
