,Year,Quarter,Pincodes,RegisteredUsers
0,2018,1,201301,114625
1,2018,1,500072,105012
2,2018,1,560068,98487
3,2018,1,110059,95496
4,2018,1,110092,83600
5,2018,1,122001,82656
6,2018,1,560037,75304
7,2018,1,395006,72275
8,2018,1,800001,71092
9,2018,1,302012,68098
10,2018,2,201301,151073
11,2018,2,500072,129543
12,2018,2,560068,128921
13,2018,2,110059,124901
14,2018,2,110092,108175
15,2018,2,122001,107275
16,2018,2,800001,94711
17,2018,2,395006,94500
18,2018,2,560037,93771
19,2018,2,302012,89071
20,2018,3,201301,188664
21,2018,3,110059,156028
22,2018,3,500072,152034
23,2018,3,560068,151862
24,2018,3,110092,136676
25,2018,3,122001,130847
26,2018,3,395006,113391
27,2018,3,302012,107088
28,2018,3,560037,106572
29,2018,3,800001,106255
30,2018,4,201301,250205
31,2018,4,110059,206537
32,2018,4,560068,201605
33,2018,4,110092,177133
34,2018,4,500072,175163
35,2018,4,122001,163556
36,2018,4,560037,137280
37,2018,4,800001,134254
38,2018,4,110086,133412
39,2018,4,110085,132600
40,2019,1,201301,301260
41,2019,1,110059,246566
42,2019,1,560068,237280
43,2019,1,500072,221180
44,2019,1,110092,206805
45,2019,1,122001,194366
46,2019,1,110086,158267
47,2019,1,560078,157977
48,2019,1,395006,157558
49,2019,1,560076,157367
50,2019,2,201301,336709
51,2019,2,110059,274593
52,2019,2,560068,263531
53,2019,2,500072,242007
54,2019,2,110092,228546
55,2019,2,122001,217913
56,2019,2,421302,182371
57,2019,2,395006,180042
58,2019,2,560078,178837
59,2019,2,110086,177199
60,2019,3,201301,369425
61,2019,3,110059,300007
62,2019,3,560068,289417
63,2019,3,500072,261019
64,2019,3,110092,248727
65,2019,3,122001,239679
66,2019,3,421302,208109
67,2019,3,395006,198132
68,2019,3,110086,194575
69,2019,3,800001,194197
70,2019,4,201301,398548
71,2019,4,110059,320535
72,2019,4,560068,313673
73,2019,4,500072,279498
74,2019,4,110092,264380
75,2019,4,122001,258880
76,2019,4,421302,243170
77,2019,4,560078,218317
78,2019,4,395006,214322
79,2019,4,560076,211683
80,2020,1,201301,425915
81,2020,1,110059,342152
82,2020,1,560068,334481
83,2020,1,500072,296003
84,2020,1,110092,280039
85,2020,1,122001,277400
86,2020,1,421302,270275
87,2020,1,560078,234102
88,2020,1,395006,230047
89,2020,1,110086,226703
90,2020,2,201301,445271
91,2020,2,110059,365614
92,2020,2,560068,351484
93,2020,2,500072,309469
94,2020,2,421302,298762
95,2020,2,110092,295000
96,2020,2,122001,293479
97,2020,2,560078,247869
98,2020,2,110086,246312
99,2020,2,395006,245129
100,2020,3,201301,472490
101,2020,3,110059,393571
102,2020,3,560068,373446
103,2020,3,421302,328833
104,2020,3,500072,328018
105,2020,3,110092,314384
106,2020,3,122001,314031
107,2020,3,110086,267186
108,2020,3,560078,265627
109,2020,3,121004,261230
110,2020,4,201301,504506
111,2020,4,110059,423149
112,2020,4,560068,399638
113,2020,4,421302,365506
114,2020,4,500072,350832
115,2020,4,122001,336803
116,2020,4,110092,335783
117,2020,4,110086,288308
118,2020,4,560078,285544
119,2020,4,121004,283882
120,2021,1,201301,541127
121,2021,1,110059,454201
122,2021,1,560068,427525
123,2021,1,421302,396179
124,2021,1,500072,375272
125,2021,1,122001,361360
126,2021,1,110092,359376
127,2021,1,110086,310419
128,2021,1,121004,306230
129,2021,1,560078,305721
130,2021,2,201301,577428
131,2021,2,110059,485328
132,2021,2,560068,455417
133,2021,2,421302,424376
134,2021,2,500072,398987
135,2021,2,122001,385555
136,2021,2,110092,383095
137,2021,2,110086,332618
138,2021,2,121004,328000
139,2021,2,560078,325334
140,2021,3,201301,618043
141,2021,3,110059,520096
142,2021,3,560068,486170
143,2021,3,421302,456284
144,2021,3,500072,425197
145,2021,3,122001,412737
146,2021,3,110092,409520
147,2021,3,110086,357590
148,2021,3,121004,352312
149,2021,3,560078,346840
150,2021,4,201301,659549
151,2021,4,110059,555449
152,2021,4,560068,517115
153,2021,4,421302,488443
154,2021,4,500072,451595
155,2021,4,122001,440178
156,2021,4,110092,436075
157,2021,4,110086,382858
158,2021,4,121004,376910
159,2021,4,560078,368213
160,2022,1,201301,698600
161,2022,1,110059,588266
162,2022,1,560068,545827
163,2022,1,421302,518716
164,2022,1,500072,476073
165,2022,1,122001,465984
166,2022,1,110092,460951
167,2022,1,110086,406863
168,2022,1,121004,400283
169,2022,1,560078,388154
170,2022,2,201301,735907
171,2022,2,110059,619737
172,2022,2,560068,573310
173,2022,2,421302,547501
174,2022,2,500072,499269
175,2022,2,122001,490709
176,2022,2,110092,484816
177,2022,2,110086,429566
178,2022,2,121004,422488
179,2022,2,560078,407066
180,2022,3,201301,774591
181,2022,3,110059,652328
182,2022,3,560068,601656
183,2022,3,421302,577754
184,2022,3,500072,523196
185,2022,3,122001,516313
186,2022,3,110092,509260
187,2022,3,110086,453393
188,2022,3,121004,445822
189,2022,3,201009,428994
190,2022,4,201301,814008
191,2022,4,110059,685596
192,2022,4,560068,630255
193,2022,4,421302,608005
194,2022,4,500072,547282
195,2022,4,122001,542209
196,2022,4,110092,534009
197,2022,4,110086,477514
198,2022,4,121004,468607
199,2022,4,201009,451153
200,2023,1,201301,851451
201,2023,1,110059,716856
202,2023,1,560068,658173
203,2023,1,421302,636458
204,2023,1,500072,570652
205,2023,1,122001,566889
206,2023,1,110092,557488
207,2023,1,110086,500213
208,2023,1,121004,490243
209,2023,1,201009,472156
210,2023,2,201301,883262
211,2023,2,110059,744061
212,2023,2,560068,680831
213,2023,2,421302,662196
214,2023,2,500072,589156
215,2023,2,122001,587988
216,2023,2,110092,577301
217,2023,2,110086,520976
218,2023,2,121004,509776
219,2023,2,201009,490549
