,State,Year,Quarter,Pincodes,Pincode_count,Pincode_amount
0,andaman-&-nicobar-islands,2018,1,north and middle andaman,442,931663.0770939873
1,andaman-&-nicobar-islands,2018,1,north and middle andaman,442,931663.0770939873
2,andaman-&-nicobar-islands,2018,1,north and middle andaman,442,931663.0770939873
3,andaman-&-nicobar-islands,2018,1,north and middle andaman,442,931663.0770939873
4,andaman-&-nicobar-islands,2018,1,north and middle andaman,442,931663.0770939873
5,andaman-&-nicobar-islands,2018,1,north and middle andaman,442,931663.0770939873
6,andaman-&-nicobar-islands,2018,1,north and middle andaman,442,931663.0770939873
7,andaman-&-nicobar-islands,2018,1,north and middle andaman,442,931663.0770939873
8,andaman-&-nicobar-islands,2018,1,north and middle andaman,442,931663.0770939873
9,andaman-&-nicobar-islands,2018,1,north and middle andaman,442,931663.0770939873
10,andaman-&-nicobar-islands,2018,2,north and middle andaman,825,1317863.0834906558
11,andaman-&-nicobar-islands,2018,2,north and middle andaman,825,1317863.0834906558
12,andaman-&-nicobar-islands,2018,2,north and middle andaman,825,1317863.0834906558
13,andaman-&-nicobar-islands,2018,2,north and middle andaman,825,1317863.0834906558
14,andaman-&-nicobar-islands,2018,2,north and middle andaman,825,1317863.0834906558
15,andaman-&-nicobar-islands,2018,2,north and middle andaman,825,1317863.0834906558
16,andaman-&-nicobar-islands,2018,2,north and middle andaman,825,1317863.0834906558
17,andaman-&-nicobar-islands,2018,2,north and middle andaman,825,1317863.0834906558
18,andaman-&-nicobar-islands,2018,2,north and middle andaman,825,1317863.0834906558
19,andaman-&-nicobar-islands,2018,2,north and middle andaman,825,1317863.0834906558
20,andaman-&-nicobar-islands,2018,3,north and middle andaman,1283,4901529.518499676
21,andaman-&-nicobar-islands,2018,3,north and middle andaman,1283,4901529.518499676
22,andaman-&-nicobar-islands,2018,3,north and middle andaman,1283,4901529.518499676
23,andaman-&-nicobar-islands,2018,3,north and middle andaman,1283,4901529.518499676
24,andaman-&-nicobar-islands,2018,3,north and middle andaman,1283,4901529.518499676
25,andaman-&-nicobar-islands,2018,3,north and middle andaman,1283,4901529.518499676
26,andaman-&-nicobar-islands,2018,3,north and middle andaman,1283,4901529.518499676
27,andaman-&-nicobar-islands,2018,3,north and middle andaman,1283,4901529.518499676
28,andaman-&-nicobar-islands,2018,3,north and middle andaman,1283,4901529.518499676
29,andaman-&-nicobar-islands,2018,3,north and middle andaman,1283,4901529.518499676
30,andaman-&-nicobar-islands,2018,4,nicobars,1485,7180859.354911782
31,andaman-&-nicobar-islands,2018,4,nicobars,1485,7180859.354911782
32,andaman-&-nicobar-islands,2018,4,nicobars,1485,7180859.354911782
33,andaman-&-nicobar-islands,2018,4,nicobars,1485,7180859.354911782
34,andaman-&-nicobar-islands,2018,4,nicobars,1485,7180859.354911782
35,andaman-&-nicobar-islands,2018,4,nicobars,1485,7180859.354911782
36,andaman-&-nicobar-islands,2018,4,nicobars,1485,7180859.354911782
37,andaman-&-nicobar-islands,2018,4,nicobars,1485,7180859.354911782
38,andaman-&-nicobar-islands,2018,4,nicobars,1485,7180859.354911782
39,andaman-&-nicobar-islands,2018,4,nicobars,1485,7180859.354911782
40,andaman-&-nicobar-islands,2019,1,nicobars,1539,7236059.549389593
41,andaman-&-nicobar-islands,2019,1,nicobars,1539,7236059.549389593
42,andaman-&-nicobar-islands,2019,1,nicobars,1539,7236059.549389593
43,andaman-&-nicobar-islands,2019,1,nicobars,1539,7236059.549389593
44,andaman-&-nicobar-islands,2019,1,nicobars,1539,7236059.549389593
45,andaman-&-nicobar-islands,2019,1,nicobars,1539,7236059.549389593
