,State,Year,Quarter,District_name,RegisteredUsers
0,andaman-&-nicobar-islands,2018,1,south andaman,5846
1,andaman-&-nicobar-islands,2018,1,north and middle andaman,632
2,andaman-&-nicobar-islands,2018,1,nicobars,262
3,andaman-&-nicobar-islands,2018,2,south andaman,8143
4,andaman-&-nicobar-islands,2018,2,north and middle andaman,911
5,andaman-&-nicobar-islands,2018,2,nicobars,351
6,andaman-&-nicobar-islands,2018,3,south andaman,10474
7,andaman-&-nicobar-islands,2018,3,north and middle andaman,1208
8,andaman-&-nicobar-islands,2018,3,nicobars,467
9,andaman-&-nicobar-islands,2018,4,south andaman,13133
10,andaman-&-nicobar-islands,2018,4,north and middle andaman,1553
11,andaman-&-nicobar-islands,2018,4,nicobars,536
12,andaman-&-nicobar-islands,2019,1,south andaman,15961
13,andaman-&-nicobar-islands,2019,1,north and middle andaman,2013
14,andaman-&-nicobar-islands,2019,1,nicobars,622
15,andaman-&-nicobar-islands,2019,2,south andaman,18621
16,andaman-&-nicobar-islands,2019,2,north and middle andaman,2417
17,andaman-&-nicobar-islands,2019,2,nicobars,693
18,andaman-&-nicobar-islands,2019,3,south andaman,20518
19,andaman-&-nicobar-islands,2019,3,north and middle andaman,2662
20,andaman-&-nicobar-islands,2019,3,nicobars,751
21,andaman-&-nicobar-islands,2019,4,south andaman,22202
22,andaman-&-nicobar-islands,2019,4,north and middle andaman,2955
23,andaman-&-nicobar-islands,2019,4,nicobars,803
24,andaman-&-nicobar-islands,2020,1,south andaman,24174
25,andaman-&-nicobar-islands,2020,1,north and middle andaman,3315
26,andaman-&-nicobar-islands,2020,1,nicobars,879
27,andaman-&-nicobar-islands,2020,2,south andaman,27626
28,andaman-&-nicobar-islands,2020,2,north and middle andaman,4100
29,andaman-&-nicobar-islands,2020,2,nicobars,984
30,andaman-&-nicobar-islands,2020,3,south andaman,34833
31,andaman-&-nicobar-islands,2020,3,north and middle andaman,5355
32,andaman-&-nicobar-islands,2020,3,nicobars,1147
33,andaman-&-nicobar-islands,2020,4,south andaman,43908
34,andaman-&-nicobar-islands,2020,4,north and middle andaman,7076
35,andaman-&-nicobar-islands,2020,4,nicobars,1412
36,andaman-&-nicobar-islands,2021,1,south andaman,48352
37,andaman-&-nicobar-islands,2021,1,north and middle andaman,7833
38,andaman-&-nicobar-islands,2021,1,nicobars,1573
39,andaman-&-nicobar-islands,2021,2,south andaman,51903
40,andaman-&-nicobar-islands,2021,2,north and middle andaman,8493
41,andaman-&-nicobar-islands,2021,2,nicobars,1699
42,andaman-&-nicobar-islands,2021,3,south andaman,55873
43,andaman-&-nicobar-islands,2021,3,north and middle andaman,9263
44,andaman-&-nicobar-islands,2021,3,nicobars,1846
45,andaman-&-nicobar-islands,2021,4,south andaman,59807
46,andaman-&-nicobar-islands,2021,4,north and middle andaman,10002
47,andaman-&-nicobar-islands,2021,4,nicobars,1971
48,andaman-&-nicobar-islands,2022,1,south andaman,63487
49,andaman-&-nicobar-islands,2022,1,north and middle andaman,10720
50,andaman-&-nicobar-islands,2022,1,nicobars,2081
51,andaman-&-nicobar-islands,2022,2,south andaman,66959
52,andaman-&-nicobar-islands,2022,2,north and middle andaman,11379
53,andaman-&-nicobar-islands,2022,2,nicobars,2192
54,andaman-&-nicobar-islands,2022,3,south andaman,70445
55,andaman-&-nicobar-islands,2022,3,north and middle andaman,11897
56,andaman-&-nicobar-islands,2022,3,nicobars,2300
57,andaman-&-nicobar-islands,2022,4,south andaman,73692
58,andaman-&-nicobar-islands,2022,4,north and middle andaman,12361
59,andaman-&-nicobar-islands,2022,4,nicobars,2389
60,andaman-&-nicobar-islands,2023,1,south andaman,77052
61,andaman-&-nicobar-islands,2023,1,north and middle andaman,12941
62,andaman-&-nicobar-islands,2023,1,nicobars,2491
63,andaman-&-nicobar-islands,2023,2,south andaman,80112
64,andaman-&-nicobar-islands,2023,2,north and middle andaman,13600
65,andaman-&-nicobar-islands,2023,2,nicobars,2617
66,andhra-pradesh,2018,1,visakhapatnam,497187
67,andhra-pradesh,2018,1,east godavari,350356
68,andhra-pradesh,2018,1,krishna,323673
69,andhra-pradesh,2018,1,guntur,317065
70,andhra-pradesh,2018,1,chittoor,309541
71,andhra-pradesh,2018,1,anantapur,241192
72,andhra-pradesh,2018,1,kurnool,240133
73,andhra-pradesh,2018,1,west godavari,213335
74,andhra-pradesh,2018,1,spsr nellore,194475
75,andhra-pradesh,2018,1,prakasam,189949
76,andhra-pradesh,2018,2,visakhapatnam,636052
77,andhra-pradesh,2018,2,east godavari,454398
78,andhra-pradesh,2018,2,krishna,431965
79,andhra-pradesh,2018,2,guntur,420326
80,andhra-pradesh,2018,2,chittoor,414306
81,andhra-pradesh,2018,2,anantapur,326383
82,andhra-pradesh,2018,2,kurnool,319313
83,andhra-pradesh,2018,2,west godavari,282393
84,andhra-pradesh,2018,2,spsr nellore,261049
85,andhra-pradesh,2018,2,prakasam,253458
86,andhra-pradesh,2018,3,visakhapatnam,769096
87,andhra-pradesh,2018,3,east godavari,558982
88,andhra-pradesh,2018,3,krishna,537086
89,andhra-pradesh,2018,3,guntur,518931
90,andhra-pradesh,2018,3,chittoor,515727
91,andhra-pradesh,2018,3,anantapur,405855
92,andhra-pradesh,2018,3,kurnool,394311
93,andhra-pradesh,2018,3,west godavari,349782
94,andhra-pradesh,2018,3,spsr nellore,322446
95,andhra-pradesh,2018,3,prakasam,314899
96,andhra-pradesh,2018,4,visakhapatnam,978288
97,andhra-pradesh,2018,4,east godavari,694455
98,andhra-pradesh,2018,4,krishna,682479
99,andhra-pradesh,2018,4,chittoor,665280
100,andhra-pradesh,2018,4,guntur,659552
101,andhra-pradesh,2018,4,anantapur,510892
102,andhra-pradesh,2018,4,kurnool,498582
103,andhra-pradesh,2018,4,west godavari,435668
104,andhra-pradesh,2018,4,spsr nellore,407495
105,andhra-pradesh,2018,4,prakasam,394962
106,andhra-pradesh,2019,1,visakhapatnam,1174517
107,andhra-pradesh,2019,1,east godavari,839277
108,andhra-pradesh,2019,1,krishna,833694
109,andhra-pradesh,2019,1,chittoor,812314
110,andhra-pradesh,2019,1,guntur,802394
111,andhra-pradesh,2019,1,anantapur,612162
112,andhra-pradesh,2019,1,kurnool,599422
113,andhra-pradesh,2019,1,west godavari,523372
114,andhra-pradesh,2019,1,spsr nellore,491908
115,andhra-pradesh,2019,1,prakasam,474260
116,andhra-pradesh,2019,2,visakhapatnam,1318740
117,andhra-pradesh,2019,2,krishna,952300
118,andhra-pradesh,2019,2,east godavari,945181
119,andhra-pradesh,2019,2,chittoor,925491
120,andhra-pradesh,2019,2,guntur,915256
121,andhra-pradesh,2019,2,anantapur,695114
122,andhra-pradesh,2019,2,kurnool,680118
123,andhra-pradesh,2019,2,west godavari,592185
124,andhra-pradesh,2019,2,spsr nellore,558303
125,andhra-pradesh,2019,2,prakasam,539462
126,andhra-pradesh,2019,3,visakhapatnam,1460464
127,andhra-pradesh,2019,3,krishna,1066546
128,andhra-pradesh,2019,3,east godavari,1057167
129,andhra-pradesh,2019,3,chittoor,1032733
130,andhra-pradesh,2019,3,guntur,1026418
131,andhra-pradesh,2019,3,anantapur,773656
132,andhra-pradesh,2019,3,kurnool,755024
133,andhra-pradesh,2019,3,west godavari,662102
134,andhra-pradesh,2019,3,spsr nellore,619592
135,andhra-pradesh,2019,3,prakasam,598568
136,andhra-pradesh,2019,4,visakhapatnam,1620235
137,andhra-pradesh,2019,4,krishna,1199971
138,andhra-pradesh,2019,4,east godavari,1195228
139,andhra-pradesh,2019,4,guntur,1158708
140,andhra-pradesh,2019,4,chittoor,1156351
141,andhra-pradesh,2019,4,anantapur,873033
142,andhra-pradesh,2019,4,kurnool,846885
143,andhra-pradesh,2019,4,west godavari,750078
144,andhra-pradesh,2019,4,spsr nellore,697154
145,andhra-pradesh,2019,4,prakasam,673522
146,andhra-pradesh,2020,1,visakhapatnam,1763581
147,andhra-pradesh,2020,1,krishna,1331602
148,andhra-pradesh,2020,1,east godavari,1329664
149,andhra-pradesh,2020,1,guntur,1289678
150,andhra-pradesh,2020,1,chittoor,1270907
151,andhra-pradesh,2020,1,anantapur,971850
152,andhra-pradesh,2020,1,kurnool,936293
153,andhra-pradesh,2020,1,west godavari,843835
154,andhra-pradesh,2020,1,spsr nellore,775440
155,andhra-pradesh,2020,1,prakasam,748655
156,andhra-pradesh,2020,2,visakhapatnam,1904719
157,andhra-pradesh,2020,2,east godavari,1459116
158,andhra-pradesh,2020,2,krishna,1459041
159,andhra-pradesh,2020,2,guntur,1426271
160,andhra-pradesh,2020,2,chittoor,1385916
161,andhra-pradesh,2020,2,anantapur,1076953
162,andhra-pradesh,2020,2,kurnool,1035093
163,andhra-pradesh,2020,2,west godavari,944829
164,andhra-pradesh,2020,2,spsr nellore,854459
165,andhra-pradesh,2020,2,prakasam,830709
166,andhra-pradesh,2020,3,visakhapatnam,2058346
167,andhra-pradesh,2020,3,east godavari,1601940
168,andhra-pradesh,2020,3,krishna,1599289
169,andhra-pradesh,2020,3,guntur,1567595
170,andhra-pradesh,2020,3,chittoor,1506503
171,andhra-pradesh,2020,3,anantapur,1186851
172,andhra-pradesh,2020,3,kurnool,1132240
173,andhra-pradesh,2020,3,west godavari,1053674
174,andhra-pradesh,2020,3,spsr nellore,937176
175,andhra-pradesh,2020,3,prakasam,915240
176,andhra-pradesh,2020,4,visakhapatnam,2209658
177,andhra-pradesh,2020,4,east godavari,1746280
178,andhra-pradesh,2020,4,krishna,1744028
179,andhra-pradesh,2020,4,guntur,1712940
180,andhra-pradesh,2020,4,chittoor,1631331
181,andhra-pradesh,2020,4,anantapur,1295872
182,andhra-pradesh,2020,4,kurnool,1230466
183,andhra-pradesh,2020,4,west godavari,1163179
184,andhra-pradesh,2020,4,spsr nellore,1022944
185,andhra-pradesh,2020,4,prakasam,999462
186,andhra-pradesh,2021,1,visakhapatnam,2368081
187,andhra-pradesh,2021,1,east godavari,1878769
188,andhra-pradesh,2021,1,krishna,1876458
189,andhra-pradesh,2021,1,guntur,1843237
190,andhra-pradesh,2021,1,chittoor,1751420
191,andhra-pradesh,2021,1,anantapur,1394849
192,andhra-pradesh,2021,1,kurnool,1323411
193,andhra-pradesh,2021,1,west godavari,1254117
194,andhra-pradesh,2021,1,spsr nellore,1100541
195,andhra-pradesh,2021,1,prakasam,1075936
