,State,Year,Quarter,Pincodes,RegisteredUsers
0,andaman-&-nicobar-islands,2018,1,744103,262
1,andaman-&-nicobar-islands,2018,1,744101,262
2,andaman-&-nicobar-islands,2018,1,744105,262
3,andaman-&-nicobar-islands,2018,1,744102,262
4,andaman-&-nicobar-islands,2018,1,744104,262
5,andaman-&-nicobar-islands,2018,1,744202,262
6,andaman-&-nicobar-islands,2018,1,744112,262
7,andaman-&-nicobar-islands,2018,1,744301,262
8,andaman-&-nicobar-islands,2018,1,744107,262
9,andaman-&-nicobar-islands,2018,1,744211,262
10,andaman-&-nicobar-islands,2018,2,744103,351
11,andaman-&-nicobar-islands,2018,2,744101,351
12,andaman-&-nicobar-islands,2018,2,744105,351
13,andaman-&-nicobar-islands,2018,2,744102,351
14,andaman-&-nicobar-islands,2018,2,744104,351
15,andaman-&-nicobar-islands,2018,2,744202,351
16,andaman-&-nicobar-islands,2018,2,744112,351
17,andaman-&-nicobar-islands,2018,2,744107,351
18,andaman-&-nicobar-islands,2018,2,744301,351
19,andaman-&-nicobar-islands,2018,2,744211,351
20,andaman-&-nicobar-islands,2018,3,744103,467
21,andaman-&-nicobar-islands,2018,3,744101,467
22,andaman-&-nicobar-islands,2018,3,744105,467
23,andaman-&-nicobar-islands,2018,3,744102,467
24,andaman-&-nicobar-islands,2018,3,744104,467
25,andaman-&-nicobar-islands,2018,3,744202,467
26,andaman-&-nicobar-islands,2018,3,744112,467
27,andaman-&-nicobar-islands,2018,3,744107,467
28,andaman-&-nicobar-islands,2018,3,744301,467
29,andaman-&-nicobar-islands,2018,3,744211,467
30,andaman-&-nicobar-islands,2018,4,744103,536
31,andaman-&-nicobar-islands,2018,4,744101,536
32,andaman-&-nicobar-islands,2018,4,744105,536
33,andaman-&-nicobar-islands,2018,4,744102,536
34,andaman-&-nicobar-islands,2018,4,744104,536
35,andaman-&-nicobar-islands,2018,4,744202,536
36,andaman-&-nicobar-islands,2018,4,744107,536
37,andaman-&-nicobar-islands,2018,4,744112,536
38,andaman-&-nicobar-islands,2018,4,744211,536
39,andaman-&-nicobar-islands,2018,4,744301,536
40,andaman-&-nicobar-islands,2019,1,744103,622
41,andaman-&-nicobar-islands,2019,1,744101,622
42,andaman-&-nicobar-islands,2019,1,744105,622
43,andaman-&-nicobar-islands,2019,1,744102,622
44,andaman-&-nicobar-islands,2019,1,744104,622
45,andaman-&-nicobar-islands,2019,1,744202,622
46,andaman-&-nicobar-islands,2019,1,744107,622
47,andaman-&-nicobar-islands,2019,1,744112,622
48,andaman-&-nicobar-islands,2019,1,744211,622
49,andaman-&-nicobar-islands,2019,1,744301,622
50,andaman-&-nicobar-islands,2019,2,744103,693
51,andaman-&-nicobar-islands,2019,2,744101,693
52,andaman-&-nicobar-islands,2019,2,744105,693
53,andaman-&-nicobar-islands,2019,2,744102,693
54,andaman-&-nicobar-islands,2019,2,744202,693
55,andaman-&-nicobar-islands,2019,2,744104,693
56,andaman-&-nicobar-islands,2019,2,744107,693
57,andaman-&-nicobar-islands,2019,2,744112,693
58,andaman-&-nicobar-islands,2019,2,744211,693
59,andaman-&-nicobar-islands,2019,2,744301,693
60,andaman-&-nicobar-islands,2019,3,744103,751
61,andaman-&-nicobar-islands,2019,3,744101,751
62,andaman-&-nicobar-islands,2019,3,744105,751
63,andaman-&-nicobar-islands,2019,3,744102,751
64,andaman-&-nicobar-islands,2019,3,744202,751
65,andaman-&-nicobar-islands,2019,3,744104,751
66,andaman-&-nicobar-islands,2019,3,744107,751
